0
-
-1
no
oh no
nay
nix
Nah
never
FALSE
not
negative
absolutely not
by no means
never
no way
not at all
not by any means
disagree
rejection
none
refusal
nyet
nein
veto
nor
denial
deny
hardly any
nothing
not any
refuse
reject
cancel
