BTCUSD
btcusd
Bitcoin
BITCOIN
bitcoin
BTC/USD
BTC-USD
btc/usd
btc-usd
ETHUSD
ethusd
ethereum
Ethereum
ETHEREUM
ETH/USD
ETH-USD
eth/usd
eth-usd
