cmd,sell,number,int,unit,trade,word,word,Handy
ask,question,handy,greetings,word,handy,greetings,word,Handy
ask,question,handy,greetings,word,handy,greetings,word,Handy
ask,question,handy,greetings,word,handy,greetings,word,Handy
ask,question,handy,greetings,word,handy,greetings,word,Handy
ask,question,handy,greetings,word,handy,greetings,word,Handy
ask,question,handy,greetings,word,word,word,word,Handy
ask,question,handy,greetings,word,word,word,word,Handy
ask,question,handy,greetings,word,word,word,word,Handy
ask,question,handy,greetings,word,word,word,word,Handy
ask,question,word,word,word,word,word,word,Handy
ask,question,word,word,word,word,word,word,Handy
