handy,hello,word,handy,hello,word,handy,hello,word,handy,hello,word,handy,hello,word,handy,hello,word,handy,hello,word,handy,hello,word,Handy
ask,question,word,word,cmd,buy,word,symbol,forex,word,word,response,true,handy,response_p,word,word,datetime,calendar,datetime,calendar,datetime,calendar,word,Handy
ask,question,word,word,cmd,buy,word,symbol,forex,word,word,response,true,handy,response_p,word,word,datetime,calendar,datetime,calendar,datetime,calendar,word,Handy
